"id","name","id_person","id_org","id_stage","title","value","add_time","update_time","stage_change_time","deleted","status","next_activity_date","next_activity_time","id_next_activity","id_last_activity","last_activity_date","lost_reason","id_pipeline","won_time","first_won_time","lost_time","notes_count","activities_count","done_activities_count","undone_activities_count","participants_count","id_label","id_lead_origin","next_activity_subject","next_activity_type","rotten_time","owner_name","id_segmentation","id_last_professional","start_of_service","due_date","average_time_to_won_total_seconds","average_stage_progress","age_total_seconds","stay_in_pipeline_stages_first_meeting","stay_in_pipeline_stages_whoqol","stay_in_pipeline_stages_healthcare_journey","stay_in_pipeline_stages_welcome","stay_in_pipeline_stages_lead","stay_in_pipeline_stages_prospect","stay_in_pipeline_stages_qualified_lead","stay_in_pipeline_stages_qualification_scheduled","stay_in_pipeline_stages_sdr_ae","stay_in_pipeline_stages_proposal_scheduled","stay_in_pipeline_stages_proposal_done","stay_in_pipeline_stages_onboarding_scheduled","stay_in_pipeline_stages_return_received","update_date"
636,"Pré-Vendas B2B",1442,1170,"30","AMcom Sistemas de Informação","0.00","2021-08-31 13:21:47","2021-11-03 17:00:13","2021-09-14 16:56:57","false","lost",NULL,NULL,NULL,"2263","2021-09-23","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2021-09-23 18:37:32",5,5,5,0,1,NULL,NULL,NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,2006145,NULL,NULL,NULL,NULL,"783635",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-08 00:07:02.144"
2172,"Pré-Vendas B2B",2827,1655,"30","Negócio Atende Simples","0.00","2022-05-31 18:00:12","2022-11-08 17:26:24",NULL,"false","lost",NULL,NULL,NULL,"13246","2022-11-21","Empresa não está no momento de cotação de novos benefícios","7",NULL,NULL,"2022-06-27 17:42:02",1,8,8,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","375",NULL,NULL,NULL,0,0,2331710,NULL,NULL,NULL,NULL,"2331710",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-09 05:00:21.779"
1883,"Pré-Vendas B2B",2570,1542,"31","Negócio Gedanken","0.00","2022-03-31 18:01:47","2022-11-08 17:27:20","2022-04-13 12:41:50","false","lost",NULL,NULL,NULL,"10042","2022-08-15","Empresa está satisfeita com o plano de saúde atual","7",NULL,NULL,"2022-04-13 13:09:50",2,6,6,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","312",NULL,NULL,NULL,0,0,1105683,NULL,NULL,NULL,NULL,"67254",NULL,"1680","1036748",NULL,NULL,NULL,NULL,NULL,"2022-11-09 05:00:23.701"
3373,"Pré-Vendas B2B",3127,1777,"30","Shoot","0.00","2022-08-03 17:57:17","2022-11-08 18:43:56","2022-08-05 11:25:53","false","lost",NULL,NULL,NULL,"10126","2022-08-15","Priorizou contratar plano de saúde com cobertura hospitalar","7",NULL,NULL,"2022-08-15 17:06:07",1,4,4,0,1,NULL,"26",NULL,NULL,NULL,"Giordano Souza","245",NULL,NULL,NULL,0,0,1033730,NULL,NULL,NULL,NULL,"884415",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-09 05:00:21.031"
3179,"Pré-Vendas B2B",2952,1162,"29","Negócio Beta Learning","0.00","2022-06-30 16:36:06","2022-11-08 11:25:10",NULL,"false","lost",NULL,NULL,NULL,"11758","2022-09-26","Lead não retornou os contatos após 3 ou mais tentativas","7",NULL,NULL,"2022-11-08 11:25:10",0,9,9,0,1,NULL,"9",NULL,NULL,NULL,"Giordano Souza","385",NULL,NULL,NULL,0,0,11299744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-09 05:00:22.26"
3825,"Pré-Vendas B2B",3441,1895,"29","ILUMEO","0.00","2022-11-03 15:57:50","2022-11-17 20:24:40",NULL,"false","lost",NULL,NULL,NULL,"13112","2022-11-03","Empresa está satisfeita com o plano de saúde atual","7",NULL,NULL,"2022-11-17 20:24:40",1,1,1,0,1,NULL,"301",NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,1225610,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-11-18 05:00:01.362"
3820,"Pré-Vendas B2B",3438,1894,"31","Intergado","0.00","2022-11-01 16:51:32","2022-11-17 20:21:41","2022-11-14 21:50:34","false","lost",NULL,NULL,NULL,"13297","2022-11-14","Empresa não está no momento de cotação de novos benefícios","7",NULL,NULL,"2022-11-17 20:21:41",1,4,4,0,1,NULL,"26",NULL,NULL,NULL,"Giordano Souza",NULL,NULL,NULL,NULL,0,0,1395009,NULL,NULL,NULL,NULL,"776486",NULL,"253867","364656",NULL,NULL,NULL,NULL,NULL,"2022-11-18 05:00:02.609"
1994,"Pré-Vendas B2B",2628,1561,"45","VEGA I.T.","0.00","2022-04-19 16:36:57","2022-12-01 19:53:56","2022-05-02 11:47:02","false","lost","2022-12-06",NULL,"7063","6632","2022-05-02","Priorizou contratar plano de saúde com cobertura hospitalar","7",NULL,NULL,"2022-05-05 15:11:18",2,4,3,1,1,NULL,"301","Prazo","deadline",NULL,"Giordano Souza","308",NULL,NULL,NULL,0,0,1377261,NULL,NULL,NULL,NULL,"0",NULL,"72","521304","271456","584428",NULL,NULL,NULL,"2022-12-02 05:00:04.744"
2068,"Pré-Vendas B2B",2707,1608,"31","Negócio Sqed","0.00","2022-05-09 19:02:54","2022-12-01 19:54:04","2022-05-09 19:03:51","false","lost","2022-12-06",NULL,"7181",NULL,NULL,"Empresa está satisfeita com o plano de saúde atual","7",NULL,NULL,"2022-05-09 19:08:56",1,1,0,1,1,NULL,"301","Retorno de contato","deadline",NULL,"Giordano Souza","331",NULL,NULL,NULL,0,0,362,NULL,NULL,NULL,NULL,"0",NULL,"305","56",NULL,NULL,NULL,NULL,NULL,"2022-12-02 05:00:05.186"
3795,"Pré-Vendas B2B",3422,1888,"31","Negócio PiniON","0.00","2022-10-27 15:57:43","2023-01-23 11:26:08","2022-11-21 14:12:44","false","open","2023-01-23",NULL,"14584","14436","2022-12-15",NULL,"7",NULL,NULL,NULL,1,7,6,1,1,NULL,"9","E-mail","email",NULL,"Giordano Souza","457",NULL,NULL,NULL,0,0,7654383,NULL,NULL,NULL,NULL,"2143998",NULL,"5500682","9702",NULL,NULL,NULL,NULL,NULL,"2023-01-24 03:10:46.814"
